CellImage,,5 Million Archive      ,,,,,,,Undergoing major changes - some stats and scores may be completely false for the time being,,,
,Rank,Tank,Name,Score,Proof,Gamemode,Special,,,,,
,1,Auto Overseer,Jess,44215098,https://www.youtube.com/watch?v=wAPi4qf1_Vk,2TDM,,,Welcome to the 5 Million Arras Archive!,,,
,2,Overseer,Skrialik,27537009,https://cdn.discordapp.com/attachments/928174021592383489/1130948964045291540/000__aHR0cHM6Ly9pLmltZ3VyLmNvbS9pVDNpYlFpLnBuZw3D3D.png,4TDM,,,,,,
,3,Commander,Marcus,25003315,https://cdn.discordapp.com/attachments/866023322529955870/1079438475922784317/death_ss.png,2TDM,,,"This page consists of every 5 Mil score, ordering them from highest to lowest
score, including the tank, player name, score, proof of score, gamemode, and an
extra column for special selections.",,,
,4,Auto Overseer,Jess,22483433,https://imgur.com/a/AWezhf3,2TDM,,,,,,
,5,Overlord,Jess,20268858,https://cdn.discordapp.com/attachments/866023322529955870/1122908300984451182/screenshot12.png,MULTIPLE,Incognito,,,,,
,6,Crossbow,Colon,20052585,https://cdn.discordapp.com/attachments/1135707353325518958/1142942079765450813/image.png,2TDM,,,"These Special selections include: Incognito scores
and Legacy scores, and runs that can be Restored (TBR).
The listing does not contain any Event scores.",,,
,7,Auto Overseer,Roman,20021586,https://imgur.com/a/cMumfGB,4TDM,,,,,,
,8,Necromancer,Quad,19435506,https://imgur.com/gallery/xSRaodY,2TDM,,,,,,
,9,Gunner Trapper,ExC,17770864,https://imgur.com/gallery/qoopBka,2TDM,,,"Explore all the other pages on this sheet which display everything in many different ways, from the Top 250, which doesn't count any Incognito scores, and gives you much more information about a run just from viewing it on the page. The Top for Each Tank page has a section for every tank in the game, so you can find the top 10 of each tank easily. Player & Tank Stats gives you any interesting stats about players or tanks. The Gamemodes and Special pages just organise all scores into columns of either their game modes or the extra info about them.",,,
,10,Predator,noscore,17241238,https://cdn.discordapp.com/attachments/395646588682240020/1093846736130277376/screenshot_-_2023-04-07T102640.387.png,2TDM,,,,,,
,11,Overlord,Jess,16776260,https://imgur.com/a/K8web3M,4TDM,,,,,,
,12,Overlord,Jess,16378462,https://youtu.be/9dAJn-ReCwU,2TDM,,,,,,
,13,Bushwhacker,ExC,16051959,https://cdn.discordapp.com/attachments/928174021592383489/1136731726886998066/image.png,2TDM,,,,,,
,14,Auto Overseer,ια,16014752,https://cdn.discordapp.com/attachments/1101493904542535791/1101982346535776326/d.png,2TDM,TBR,,,,,
,15,Carrier,Corrupt Y,15694505,https://cdn.discordapp.com/attachments/928174021592383489/1148278272195559474/image.png,2TDM,,,,,,
,16,Overlord,Skrialik,15615614,https://imgur.com/a/t92Wf2h,4TDM,,,,,,
,17,Manager,zo,15117515,https://cdn.discordapp.com/attachments/866023322529955870/1153544609939603466/screenshot_-_2023-09-18T221037.067.png,2TDM,TBR,,,,,
,18,Auto Assassin,rela 🐣,15079276,https://imgur.com/a/iWPAC7N,2TDM,,,Top 100,,,Player & Tank Stats
,19,Auto Assassin,ねこきん,14606671,https://cdn.discordapp.com/attachments/981241581044637696/1116097212749991936/IMG_8649.jpg,2TDM,,,,,,
,20,Overlord,Drokert el LaTaTa,14467190,https://cdn.discordapp.com/attachments/1009229141859643462/1147983130230263848/14.46m_Overlord_restore_2_2-tdm_3hr_10m_34s.PNG,2TDM,,,Top Each Tank,,,Gamemodes
,21,Single,Rog456,14245593,https://cdn.discordapp.com/attachments/928174021592383489/1132126443841781870/D7F4759C-D69D-4688-AA68-6CC41239BFB2.png,2TDM,,,,,,
,22,Overlord,Marcus,14076885,https://cdn.discordapp.com/attachments/1146204878331461642/1150402565029232702/screenshot_-_2023-09-10T140844.463.png,4TDM,TBR,,Special,,,Details
,23,Overlord,🥕Crazy Carrot🥕,13960825,https://imgur.com/a/wzNDW95,4TDM,,,,,,
,24,Manager,Mr.Hacker YT,13779227,https://cdn.discordapp.com/attachments/928174021592383489/1142312196664201297/screenshot_-_2023-08-18T212029.154.png,2TDM,TBR,,,,,
