,Players with most 5 Mils,,,,Players with highest total score,,,,Players with best average score,,,,Tanks with most 5 Mils,,,,Tanks with highest total score,,,,Tanks with highest average score,,,,Most Frequent Players in Top 250,,,,Most Frequent Tanks in Top 250,,,,Most Frequent Players in Top Tanks,,,,Most #1 Spots in Top Tanks,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Name,Count,,#,Name,Total,,#,Name,Average,,#,Tank,count Tank,,#,Tank,Total,,#,,Total,,#,Name,Count,,#,Tank,Count,,#,Name,Count,,#,Name,Count
,1,ια,38,,1,Jess,280929679,,1,Jess,9877993.41935484,,1,Overlord,81,,1,Overlord,646580621,,1,Commander,10809347.6,,1,Jess,15,,1,Overlord,33,,1,Slade,68,,1,Corrupt Y,6
,2,Slade,35,,2,ια,267187859,,2,Harry,8949702.5,,2,Auto Overseer,53,,2,Auto Overseer,449260578,,2,Crossbow,9954867.2,,2,Skrialik,14,,2,Auto Overseer,22,,2,Skrialik,41,,1,ExC,6
,3,Jess,29,,3,Slade,241508934,,3,ねこきん,8684416.666666666,,3,Auto Assassin,32,,3,Auto Assassin,229135304,,3,Bushwhacker,9523554.2,,3,Marcus,13,,3,Manager,15,,3,Quad,37,,1,Jess,6
,3,Skrialik,29,,4,Skrialik,231257594,,4,Armin,8330322,,4,Manager,30,,4,Manager,224910977,,4,Fortress,9138754.666666666,,3,Mr.Hacker YT,13,,4,Auto Assassin,12,,4,Marcus,34,,1,Quad,6
,5,Marcus,28,,5,Marcus,223096808,,5,noscore,8144599.666666667,,5,Fighter,29,,5,Streamliner,191214794,,5,Flank Guard,8602768.75,,3,ια,13,,5,Streamliner,8,,5,Corrupt Y,32,,1,Rog456,6
,6,Mr.Hacker YT,23,,6,Mr.Hacker YT,181110120,,6,Corrupt Y,8131388.153846154,,6,Streamliner,28,,6,Fighter,175184864,,6,Auto Overseer,8476614.679245284,,6,Slade,12,,6,Fighter,7,,6,ExC,30,,1,Slade,6
,7,Quad,19,,7,byekc,130025629,,7,Awootube,8065338,,7,Auto Spawner,22,,7,Auto Spawner,143911005,,7,Overseer,8348769.6875,,7,ExC,9,,7,Gunner Trapper,6,,7,ια,29,,7,Marcus,5
,8,byekc,17,,8,Quad,128204893,,8,ExC,8044825.47368421,,8,Smasher,21,,8,Predator,136668745,,8,Carrier,8175652.125,,7,Ö.,9,,7,Necromancer,6,,8,Rog456,26,,7,Ö.,5
,9,Colon,16,,9,Colon,115285848,,9,Chris3773,7943073,,9,Annihilator,20,,9,Necromancer,134396837,,9,Overgunner,8076771.571428572,,9,Chris3773,8,,7,Overseer,6,,9,Mine,25,,9,Mine,4
,9,Nyrox,16,,10,Ö.,112394481,,10,Marcus,7872353.1,,10,Necromancer,19,,10,Overseer,133580315,,10,Single,8038224,,9,byekc,8,,7,Predator,6,,10,Mr.Hacker YT,24,,9,Para,4
