,Tank,Name,Score,Proof,Gamemode,Info,Build,,,,,,,,,,Date of Death,Server
,TOP 250 Scores,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Auto Overseer,Jess,44215098,https://www.youtube.com/watch?v=wAPi4qf1_Vk,2TDM,,2,3,9,7,7,7,1,6,0,0,21st April 2023,USA
,Overseer,Skrialik,27537009,https://cdn.discordapp.com/attachments/928174021592383489/1130948964045291540/000__aHR0cHM6Ly9pLmltZ3VyLmNvbS9pVDNpYlFpLnBuZw3D3D.png,4TDM,,2,3,7,7,7,7,2,7,0,0,26th September 2021,USA
,Commander,Marcus,25003315,https://cdn.discordapp.com/attachments/866023322529955870/1079438475922784317/death_ss.png,2TDM,,2,2,9,7,7,7,2,6,0,0,26th February 2023,EUROPE
,Auto Overseer,Jess,22483433,https://imgur.com/a/AWezhf3,2TDM,,2,2,9,7,8,7,1,6,0,0,16th February 2023,USA
,Crossbow,Colon,20052585,https://cdn.discordapp.com/attachments/1135707353325518958/1142942079765450813/image.png,2TDM,,2,2,4,8,6,8,6,6,0,0,20th August 2023,USA
,Auto Overseer,Roman,20021586,https://imgur.com/a/cMumfGB,4TDM,,3,3,7,7,7,7,1,7,0,0,18th April 2021,EUROPE
,Necromancer,Quad,19435506,https://imgur.com/gallery/xSRaodY,2TDM,,1,2,9,8,6,7,2,7,0,0,29th July 2023,USA
,Gunner Trapper,ExC,17770864,https://imgur.com/gallery/qoopBka,2TDM,,2,3,5,6,7,7,6,6,0,0,17th October 2022,USA
,Predator,noscore,17241238,https://cdn.discordapp.com/attachments/395646588682240020/1093846736130277376/screenshot_-_2023-04-07T102640.387.png,2TDM,,2,2,4,7,8,7,6,6,0,0,7th April 2023,ASIA
,Overlord,Jess,16776260,https://imgur.com/a/K8web3M,4TDM,,2,3,8,7,7,7,1,7,0,0,17th February 2023,USA
,Overlord,Jess,16378462,https://youtu.be/9dAJn-ReCwU,2TDM,,2,2,9,7,7,7,1,7,0,0,19th April 2023,USA
,Bushwhacker,ExC,16051959,https://cdn.discordapp.com/attachments/928174021592383489/1136731726886998066/image.png,2TDM,,2,2,5,8,5,8,6,6,0,0,3rd August 2023,USA
,Auto Overseer,ια,16014752,https://cdn.discordapp.com/attachments/1101493904542535791/1101982346535776326/d.png,2TDM,TBR,2,2,9,7,6,9,1,6,0,0,21st April 2023,USA
,Carrier,Corrupt Y,15694505,https://cdn.discordapp.com/attachments/928174021592383489/1148278272195559474/image.png,2TDM,,2,3,6,7,5,7,6,6,0,0,4th September 2023,USA
,Overlord,Skrialik,15615614,https://imgur.com/a/t92Wf2h,4TDM,,3,3,7,7,7,7,1,7,0,0,April 14th 2021,EUROPE
,Auto Assassin,rela 🐣,15079276,https://imgur.com/a/iWPAC7N,2TDM,,2,2,4,7,6,8,6,7,0,0,2nd May 2023,ASIA
,Auto Assassin,ねこきん,14606671,https://cdn.discordapp.com/attachments/981241581044637696/1116097212749991936/IMG_8649.jpg,2TDM,,2,2,4,7,6,7,6,8,0,0,7th April 2023,USA
,Overlord,Drokert el LaTaTa,14467190,https://cdn.discordapp.com/attachments/1009229141859643462/1147983130230263848/14.46m_Overlord_restore_2_2-tdm_3hr_10m_34s.PNG,2TDM,,2,3,9,7,6,8,0,7,0,0,3rd August 2023,USA
,Single,Rog456,14245593,https://cdn.discordapp.com/attachments/928174021592383489/1132126443841781870/D7F4759C-D69D-4688-AA68-6CC41239BFB2.png,2TDM,,2,3,4,8,5,8,6,6,0,0,22nd July 2023,USA
,Overlord,🥕Crazy Carrot🥕,13960825,https://imgur.com/a/wzNDW95,4TDM,,3,3,6,7,8,8,1,6,0,0,1st April 2021,EUROPE
,Manager,Mr.Hacker YT,13779227,https://cdn.discordapp.com/attachments/928174021592383489/1142312196664201297/screenshot_-_2023-08-18T212029.154.png,2TDM,TBR,2,3,9,8,5,8,1,6,0,0,19th August 2023,USA
,Overlord,Thx m8,13550218,https://imgur.com/a/KnlDnhf,4TDM,,3,3,7,7,7,7,1,7,0,0,1st May 2022,ASIA
,Falcon,byekc,13524688,https://cdn.discordapp.com/attachments/866023322529955870/1109055950607876166/Ekran_Goruntusu_6828.png,2TDM,,2,3,4,7,8,7,6,5,0,0,18th May 2023,EUROPE
,Overlord,Mr.Hacker YT,13092858,https://imgur.com/gallery/VNGW62S,2TDM,,2,2,9,7,7,7,1,7,0,0,18th October 2022,USA
,Overlord,Harry,13005049,https://imgur.com/a/8c1B2EI,2TDM,TBR,/,/,/,/,/,/,/,/,/,/,Tue Apr 05 2022 01:00:00 GMT-0400 (Eastern Daylight Time),ASIA
,Fortress,ια,12732303,https://cdn.discordapp.com/attachments/928174021592383489/1127655238711640186/screenshot_-_2023-03-19T103357.png,2TDM,,2,2,5,7,7,7,6,6,0,0,19th March 2023,USA
,Predator,Skrialik,12345678,https://imgur.com/a/7b0FnkI,Squads,Legacy,2,2,5,7,7,7,6,6,0,0,15th June 2021,USA
,Auto Overseer,Marcus,12292585,https://cdn.discordapp.com/attachments/1095472648886165704/1136667850166247484/screenshot_-_2023-08-03T163157.926.png,2TDM,,2,2,9,7,6,8,1,7,0,0,3rd August 2023,EUROPE
