CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,CellImage,44215098,Jess,CellImage,Auto Overseer,2TDM,,https://www.youtube.com/watch?v=wAPi4qf1_Vk,2,3,9,7,7,7,1,6,0,0,21st April 2023,USA
,CellImage,27537009,Skrialik,CellImage,Overseer,4TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1130948964045291540/000__aHR0cHM6Ly9pLmltZ3VyLmNvbS9pVDNpYlFpLnBuZw3D3D.png,2,3,7,7,7,7,2,7,0,0,26th September 2021,USA
,CellImage,25003315,Marcus,CellImage,Commander,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1079438475922784317/death_ss.png,2,2,9,7,7,7,2,6,0,0,26th February 2023,EUROPE
,4,22483433,Jess,CellImage,Auto Overseer,2TDM,,https://imgur.com/a/AWezhf3,2,2,9,7,8,7,1,6,0,0,16th February 2023,USA
,5,20052585,Colon,CellImage,Crossbow,2TDM,,https://cdn.discordapp.com/attachments/1135707353325518958/1142942079765450813/image.png,2,2,4,8,6,8,6,6,0,0,20th August 2023,USA
,6,20021586,Roman,CellImage,Auto Overseer,4TDM,,https://imgur.com/a/cMumfGB,3,3,7,7,7,7,1,7,0,0,18th April 2021,EUROPE
,7,19435506,Quad,CellImage,Necromancer,2TDM,,https://imgur.com/gallery/xSRaodY,1,2,9,8,6,7,2,7,0,0,29th July 2023,USA
,8,17770864,ExC,CellImage,Gunner Trapper,2TDM,,https://imgur.com/gallery/qoopBka,2,3,5,6,7,7,6,6,0,0,17th October 2022,USA
,9,17241238,noscore,CellImage,Predator,2TDM,,https://cdn.discordapp.com/attachments/395646588682240020/1093846736130277376/screenshot_-_2023-04-07T102640.387.png,2,2,4,7,8,7,6,6,0,0,7th April 2023,ASIA
,10,16776260,Jess,CellImage,Overlord,4TDM,,https://imgur.com/a/K8web3M,2,3,8,7,7,7,1,7,0,0,17th February 2023,USA
,11,16378462,Jess,CellImage,Overlord,2TDM,,https://youtu.be/9dAJn-ReCwU,2,2,9,7,7,7,1,7,0,0,19th April 2023,USA
,12,16051959,ExC,CellImage,Bushwhacker,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1136731726886998066/image.png,2,2,5,8,5,8,6,6,0,0,3rd August 2023,USA
,13,16014752,ια,CellImage,Auto Overseer,2TDM,TBR,https://cdn.discordapp.com/attachments/1101493904542535791/1101982346535776326/d.png,2,2,9,7,6,9,1,6,0,0,21st April 2023,USA
,14,15694505,Corrupt Y,CellImage,Carrier,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1148278272195559474/image.png,2,3,6,7,5,7,6,6,0,0,4th September 2023,USA
,15,15615614,Skrialik,CellImage,Overlord,4TDM,,https://imgur.com/a/t92Wf2h,3,3,7,7,7,7,1,7,0,0,April 14th 2021,EUROPE
,16,15117515,zo,CellImage,Manager,2TDM,TBR,https://cdn.discordapp.com/attachments/866023322529955870/1153544609939603466/screenshot_-_2023-09-18T221037.067.png,3,3,7,7,7,8,0,7,0,0,21st April 2023,USA
,17,15079276,rela 🐣,CellImage,Auto Assassin,2TDM,,https://imgur.com/a/iWPAC7N,2,2,4,7,6,8,6,7,0,0,2nd May 2023,ASIA
,18,14606671,ねこきん,CellImage,Auto Assassin,2TDM,,https://cdn.discordapp.com/attachments/981241581044637696/1116097212749991936/IMG_8649.jpg,2,2,4,7,6,7,6,8,0,0,7th April 2023,USA
,19,14467190,Drokert el LaTaTa,CellImage,Overlord,2TDM,,https://cdn.discordapp.com/attachments/1009229141859643462/1147983130230263848/14.46m_Overlord_restore_2_2-tdm_3hr_10m_34s.PNG,2,3,9,7,6,8,0,7,0,0,3rd August 2023,USA
,20,14245593,Rog456,CellImage,Single,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1132126443841781870/D7F4759C-D69D-4688-AA68-6CC41239BFB2.png,2,3,4,8,5,8,6,6,0,0,22nd July 2023,USA
,21,14076885,Marcus,CellImage,Overlord,4TDM,TBR,https://cdn.discordapp.com/attachments/1146204878331461642/1150402565029232702/screenshot_-_2023-09-10T140844.463.png,2,2,9,7,6,8,1,7,0,0,7th September 2023,EUROPE
,22,13960825,🥕Crazy Carrot🥕,CellImage,Overlord,4TDM,,https://imgur.com/a/wzNDW95,3,3,6,7,8,8,1,6,0,0,1st April 2021,EUROPE
,23,13779227,Mr.Hacker YT,CellImage,Manager,2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1142312196664201297/screenshot_-_2023-08-18T212029.154.png,2,3,9,8,5,8,1,6,0,0,19th August 2023,USA
,24,13550218,Thx m8,CellImage,Overlord,4TDM,,https://imgur.com/a/KnlDnhf,3,3,7,7,7,7,1,7,0,0,1st May 2022,ASIA
,25,13524688,byekc,CellImage,Falcon,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1109055950607876166/Ekran_Goruntusu_6828.png,2,3,4,7,8,7,6,5,0,0,18th May 2023,EUROPE
,26,13092858,Mr.Hacker YT,CellImage,Overlord,2TDM,,https://imgur.com/gallery/VNGW62S,2,2,9,7,7,7,1,7,0,0,18th October 2022,USA
,27,13005049,Harry,CellImage,Overlord,2TDM,TBR,https://imgur.com/a/8c1B2EI,,,,,,,,,,,April 5 2022,ASIA
,28,12732303,ια,CellImage,Fortress,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1127655238711640186/screenshot_-_2023-03-19T103357.png,2,2,5,7,7,7,6,6,0,0,19th March 2023,USA
,29,12345678,Skrialik,CellImage,Predator,Squads,Legacy,https://imgur.com/a/7b0FnkI,2,2,5,7,7,7,6,6,0,0,15th June 2021,USA
,30,12292585,Marcus,CellImage,Auto Overseer,2TDM,,https://cdn.discordapp.com/attachments/1095472648886165704/1136667850166247484/screenshot_-_2023-08-03T163157.926.png,2,2,9,7,6,8,1,7,0,0,3rd August 2023,EUROPE
,31,12033305,Mr.Hacker YT,CellImage,Hexa Tank,4TDM,TBR,https://cdn.discordapp.com/attachments/1146049737494114356/1147847776961577000/screenshot_-_2023-09-03T035609.930.png,2,2,4,8,6,8,7,5,0,0,3rd September 2023,EUROPE
